epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1699.74,1.86284,1.61314,1.12021,0.49362,0.22351,0.2204,0.11164,1.61893,1.24921,1.07565,0.000333079,0.000333079,0.0670252
2,3433.53,1.6789,1.25497,1.05262,0.62713,0.25406,0.27241,0.14617,1.45505,1.06659,1.03445,0.000622429,0.000622429,0.0339812
3,5064.16,1.60265,1.1477,1.03033,0.55178,0.30371,0.31815,0.16569,1.46761,1.02881,1.02397,0.000867779,0.000867779,0.000893224
4,6547.68,1.54965,1.09302,1.01258,0.69033,0.28832,0.33719,0.18679,1.37989,0.96168,1.00856,0.000802,0.000802,0.000802
5,8038.62,1.51212,1.04476,1.00211,0.57787,0.33055,0.34045,0.19026,1.34602,0.94913,0.9953,0.000736,0.000736,0.000736
6,9492.2,1.48231,1.01744,0.98654,0.45675,0.35875,0.35975,0.19347,1.35823,0.92577,1.00041,0.00067,0.00067,0.00067
7,10939,1.44904,0.95624,0.97862,0.66515,0.32788,0.36625,0.20342,1.34137,0.89388,0.98929,0.000604,0.000604,0.000604
8,12383.5,1.39998,0.92233,0.96664,0.64081,0.35891,0.39141,0.21842,1.3112,0.88062,0.98265,0.000538,0.000538,0.000538
9,13831,1.37699,0.89399,0.95803,0.65066,0.38989,0.42231,0.22666,1.29649,0.86476,0.97921,0.000472,0.000472,0.000472
10,15315.4,1.36045,0.87422,0.94842,0.51365,0.43525,0.43346,0.23476,1.26266,0.84038,0.97094,0.000406,0.000406,0.000406
11,16782.1,1.31752,0.83693,0.94433,0.47561,0.4775,0.43206,0.234,1.25637,0.83338,0.9668,0.00034,0.00034,0.00034
12,18218.7,1.30086,0.82263,0.93796,0.53703,0.4652,0.43177,0.23716,1.22822,0.81027,0.96248,0.000274,0.000274,0.000274
13,19656.7,1.28117,0.80266,0.92997,0.53199,0.4805,0.46162,0.2593,1.20069,0.78162,0.9544,0.000208,0.000208,0.000208
14,21098.7,1.25586,0.77891,0.92496,0.50562,0.47814,0.46555,0.26855,1.17941,0.75607,0.94804,0.000142,0.000142,0.000142
15,22545.3,1.23557,0.76957,0.91904,0.54445,0.48565,0.46551,0.2664,1.16942,0.74763,0.94641,7.6e-05,7.6e-05,7.6e-05
